review,rating,date,bank,source,sentiment_label,sentiment_score,nouns,identified_theme,noun_text
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,Google Play,NEUTRAL,0.0,"['password', 'በጣት', 'አሻራ', 'ቢኖረው', 'መልካም']",Other,password በጣት አሻራ ቢኖረው መልካም
best app i ever seen,5,2025-10-09,CBE,Google Play,POSITIVE,1.0,['app'],User Interface & Experience,app
it's game changing in financial system,4,2025-10-09,CBE,Google Play,NEGATIVE,-0.2,"['game', 'system']",Other,game system
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,CBE,Google Play,NEUTRAL,0.0,"['z', 'mkt', 'r']",Other,z mkt r
will good updating,5,2025-10-08,CBE,Google Play,POSITIVE,0.7,[],Other,
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,Google Play,NEGATIVE,-0.35,"['service', 'charge', 'vat']",Customer Support,service charge vat
🙏👍,5,2025-11-28,BOA,Google Play,NEUTRAL,0.0,['🙏'],Other,🙏
Very Good,5,2025-11-28,BOA,Google Play,POSITIVE,0.9099999999999999,[],Other,
goof,5,2025-11-28,BOA,Google Play,NEUTRAL,0.0,['goof'],Other,goof
good!,5,2025-11-28,BOA,Google Play,POSITIVE,0.875,[],Other,
good jop,5,2025-11-27,BOA,Google Play,POSITIVE,0.7,"['good', 'jop']",Other,good jop
bad exprience...it is so crushed,1,2025-11-27,BOA,Google Play,NEGATIVE,-0.3999999999999999,['exprience'],Other,exprience
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,2025-11-26,BOA,Google Play,POSITIVE,0.42500000000000004,"['user', 'connectivity', 'time', '😑', '😑']",Other,user connectivity time 😑 😑
ምንም የማይ ሰራ,1,2025-11-26,BOA,Google Play,NEUTRAL,0.0,"['ምንም', 'የማይ', 'ሰራ']",Other,ምንም የማይ ሰራ
most of the time is not working properly,1,2025-11-24,BOA,Google Play,POSITIVE,0.25,['time'],Other,time
good service,5,2025-11-24,BOA,Google Play,POSITIVE,0.7,['service'],Other,service
not use for me,3,2025-11-23,BOA,Google Play,NEUTRAL,0.0,[],Other,
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,BOA,Google Play,POSITIVE,0.06818181818181818,"['developer', 'option', 'type', 'problem', 'update']",User Interface & Experience,developer option type problem update
waw,5,2025-11-20,BOA,Google Play,NEUTRAL,0.0,['waw'],Other,waw
